2015-05-28 15:38:21,133 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1287 ; args=(1287,)
2015-05-28 15:38:21,135 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 2 ; args=(2,)
2015-05-28 15:38:21,137 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1287 ; args=(1287,)
2015-05-28 15:38:21,139 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 2 ; args=(2,)
2015-05-28 15:38:21,141 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1287 ; args=(1287,)
2015-05-28 15:38:21,143 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,144 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1295 ; args=(1295,)
2015-05-28 15:38:21,146 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,148 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1295 ; args=(1295,)
2015-05-28 15:38:21,150 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,152 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1295 ; args=(1295,)
2015-05-28 15:38:21,154 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 2 ; args=(2,)
2015-05-28 15:38:21,156 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1287 ; args=(1287,)
2015-05-28 15:38:30,214 [Thread-3141:1138293056] [django.db.backends:51] [DEBUG]- (0.002) SELECT `XmlFile`.`id`, `XmlFile`.`name`, `XmlFile`.`platformId_id`, `XmlFile`.`content`, `XmlFile`.`type`, `XmlFile`.`status` FROM `XmlFile` WHERE (`XmlFile`.`status` = 0  AND `XmlFile`.`platformId_id` = 1 ) ORDER BY `XmlFile`.`id` DESC; args=(0, 1)
2015-05-28 15:38:32,894 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.012) SELECT `Task`.`id`, `Task`.`PLATFORM_ID_id`, `Task`.`LDAP`, `Task`.`TIME`, `Task`.`STATUS`, `Task`.`RESULT`, `Task`.`LOG_PATH`, `Task`.`ENV_ID_id`, `Task`.`USER_CASES` FROM `Task` WHERE (`Task`.`STATUS` = 3  AND `Task`.`PLATFORM_ID_id` = 1 ) ORDER BY `Task`.`id` DESC; args=(3, 1)
2015-05-28 15:38:32,912 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1281 ; args=(1281,)
2015-05-28 15:38:32,915 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1163 ; args=(1163,)
2015-05-28 15:38:32,917 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1163 ; args=(1163,)
2015-05-28 15:38:32,919 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1163 ; args=(1163,)
2015-05-28 15:38:32,922 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1163 ; args=(1163,)
2015-05-28 15:38:32,924 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1163 ; args=(1163,)
2015-05-28 15:38:32,927 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1163 ; args=(1163,)
2015-05-28 15:38:32,929 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
2015-05-28 15:38:32,931 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
2015-05-28 15:38:32,933 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
2015-05-28 15:38:32,935 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
2015-05-28 15:38:32,937 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
2015-05-28 15:38:32,939 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
2015-05-28 15:38:32,942 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
2015-05-28 15:38:32,944 [Thread-3145:1127803200] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1161 ; args=(1161,)
